 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2007    8   92 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2007    9   93  972.65    2.76    1.57   77.6    3.78    0.00  -999.0     0.0     0.0   107.3   107.7    35.1    33.2    0.293  285.7  315.4    2.640   61.0241932   46.8723056  270.1 -999
 2007   10   94  965.05    0.41   -0.88   64.3    2.73    0.00  -999.0     0.0     0.0    77.4    53.6    27.8    15.4 -999.000  250.4  301.9    2.648 -999.0000000 -999.0000000 -999.0 -999
 2007   11   95  973.86   -2.68   -4.18   78.4    2.68    0.00  -999.0     0.0     0.0    20.0    23.6    17.5     7.7 -999.000  273.9  294.2    2.575 -999.0000000 -999.0000000 -999.0 -999
 2007   12   96  958.80   -9.52  -10.70   68.0    1.33    0.00  -999.0     0.0     0.0    14.1     8.4    10.3     3.5 -999.000  210.9  262.1    2.664 -999.0000000 -999.0000000 -999.0 -999
 2008    1   97  963.50  -11.44  -12.55   65.4    1.09    0.00  -999.0  -999.0  -999.0    21.0    17.6    13.7     9.6 -999.000  205.5  252.3    2.734 -999.0000000 -999.0000000 -999.0 -999
 2008    2   98  962.44  -11.14  -13.30   75.3    1.41    0.00  -999.0  -999.0  -999.0    59.3    51.2    51.0    32.6 -999.000  220.2  257.5    2.424 -999.0000000 -999.0000000 -999.0 -999
 2008    3   99  970.62   -6.18   -7.25   75.7    2.06    0.00  -999.0     0.0     0.0   121.7   112.2   102.9    87.9    0.814  247.6  277.0    2.286 -999.0000000 -999.0000000 -999.0 -999
 2008    4  100  979.77    1.05    0.35   69.5    2.96    0.00  -999.0     0.0     0.0   201.7   201.7   150.8   144.8    0.748  267.7  307.5    2.338 -999.0000000 -999.0000000 -999.0 -999
 2008    5  101  980.63    3.49    2.80   77.1    3.83    0.00  -999.0     0.0     0.0   235.0   239.6   107.4   105.3    0.449  286.3  318.3    2.641 -999.0000000 -999.0000000 -999.0 -999
 2008    6  102  985.87    3.95    3.42   79.2    4.05    0.00  -999.0     0.0     0.0   304.1   305.5    94.3    85.4    0.283  282.3  318.4    2.645 -999.0000000 -999.0000000 -999.0 -999
 2008    7  103  979.92    4.13    3.33   82.5    4.30    0.00  -999.0     0.0     0.0   103.0   153.7    96.8    70.2    0.486  310.8  318.2    2.612 -999.0000000 -999.0000000 -999.0 -999
 2008    8  104  976.47    4.36    3.38   78.8    4.19    0.00  -999.0     0.0     0.0   181.2   195.1    60.7    54.9    0.323  284.7  318.9    2.741   61.0240515   46.8727631  242.1 -999
 2008    9  105  972.55    2.29    1.33   79.1    3.71    0.00  -999.0  -999.0  -999.0   100.2   106.0    44.7    43.9    0.406  281.7  313.8    2.792 -999.0000000 -999.0000000 -999.0 -999
 2008   10  106  970.93   -1.22   -2.27   70.8    2.67    0.00  -999.0     0.0     0.0    60.8    58.8    39.4    19.3 -999.000  251.9  297.9    2.573 -999.0000000 -999.0000000 -999.0 -999
 2008   11  107  976.16   -2.46   -3.57   79.9    2.75    0.00  -999.0     0.0     0.0    17.0    19.6    17.7     8.3 -999.000  269.4  294.1    2.572 -999.0000000 -999.0000000 -999.0 -999
 2008   12  108  964.70   -8.07   -9.15   79.6    1.81    0.00  -999.0     0.0     0.0     7.8     7.9     9.7     4.3 -999.000  232.2  271.4    2.430 -999.0000000 -999.0000000 -999.0 -999
 2009    1  109  956.01   -5.77   -6.88   69.7    1.87    0.00  -999.0     0.0     0.0    15.1    17.1    16.0    11.4 -999.000  235.9  275.8    2.597 -999.0000000 -999.0000000 -999.0 -999
 2009    2  110  969.50   -4.11   -5.20   66.0    1.99    0.00  -999.0     0.0     0.0    45.3    46.3    36.4    35.4 -999.000  239.0  284.0    2.607 -999.0000000 -999.0000000 -999.0 -999
 2009    3  111  972.77   -7.45   -8.39   66.9    1.50    0.00  -999.0     0.0     0.0   124.2   137.4   107.2   104.8    0.764  216.0  270.0    2.458 -999.0000000 -999.0000000 -999.0 -999
 2009    4  112  970.90   -1.11   -1.77   72.8    2.67    0.00  -999.0     0.0     0.0   180.5   184.5   141.0   139.2    0.762  262.2  301.3    2.481 -999.0000000 -999.0000000 -999.0 -999
 2009    5  113  973.22    0.32   -0.09   74.0    3.01    0.00  -999.0     0.0     0.0   277.4   283.2   202.7   202.3    0.735  261.0  306.7    2.434   61.0239345   46.8729981  239.7 -999
 2009    6  114  984.59    3.79    2.97   82.1    4.14    0.00  -999.0     0.0     0.0   229.8   227.9    91.6    90.7    0.401  304.0  319.2    2.718   61.0239197   46.8727738  193.7 -999
 2009    7  115  983.98    4.64    3.91   77.9    4.18    0.00  -999.0     0.0     0.0   222.4   246.6   108.6    74.2    0.291  301.7  313.3    2.622   61.0239054   46.8729793  144.9 -999
 2009    8  116  977.27    4.30    3.46   79.3    4.18    0.02  -999.0     0.1     0.0    73.1   139.6    87.7    62.8 -999.000  320.6  310.8    2.617   61.0240224   46.8725080  155.8  100
 2009    9  117  966.32    1.15    0.15   80.1    3.47    3.74    21.4    22.0    -7.1   116.7   119.0    47.7    47.0    0.391  277.4  309.3    2.635   61.0314439   46.8482459  313.3  100
 2009   10  118  970.10   -1.47   -2.49   65.1    2.34    5.99    34.7    50.9   -29.9    68.6    69.0    32.7    32.1 -999.000  242.7  295.4    2.644   61.0314346   46.8482539  313.1  100
 2009   11  119  962.63   -6.53   -7.57   67.6    1.67    5.57    32.2    52.6    -8.2    26.3    29.7    24.7    24.1 -999.000  225.5  269.1    2.490 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  971.06   -3.91   -4.95   63.9    1.90    5.69    42.3    58.9   -16.0     9.7     9.8    10.3     7.9 -999.000  239.2  280.2    2.220 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  963.44   -2.72   -3.73   72.6    2.31    5.87    47.8    58.7   -17.5    13.7    14.9    13.5    11.8 -999.000  258.5  288.0    2.142 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  973.26   -1.72   -2.69   62.9    2.18    7.00    43.7    74.6   -31.8    50.8    49.5    39.3    38.3 -999.000  241.3  291.2    2.401 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  970.01   -3.67   -4.66   68.0    2.11    5.28    34.1    44.4   -13.1   115.9   115.6    97.1    96.0    0.829  248.0  284.9    2.417 -999.0000000 -999.0000000 -999.0   51
 2010    4  124  975.22   -0.37   -1.42   64.4    2.41    4.68    38.0    40.3   -14.1   219.8   219.3   176.2   175.2    0.813  246.2  296.3    2.215   61.0314167   46.8482653  314.0 -999
 2010    5  125  978.02    4.25    3.37   72.0    3.75    5.32    52.8    75.6    -6.3   204.4   205.8    43.2    42.6    0.235  290.8  315.6    2.627   61.0313881   46.8483009  313.5   61
 2010    6  126  974.60    4.09    3.30   77.2    4.02    4.29    48.1    48.4     2.6   236.2   234.1    39.3    38.7    0.164  300.8  315.8    2.644   61.0313592   46.8483214  311.9  100
