 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2009    8  116 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2009    9  117  886.96   -7.95   -8.21   78.2    1.85    5.54   118.8    18.1   -15.0    96.0    94.8    64.7    64.1 -999.000  227.0  274.8    2.602   72.8914012   53.5353898  978.7  100
 2009   10  118  893.14  -13.58  -13.94   80.1    1.14    6.73   112.0    27.7    -5.5    22.8    22.7    19.3    19.1 -999.000  210.9  250.4    2.575   72.8913640   53.5358582  979.0  100
 2009   11  119  886.85  -19.88  -20.29   76.2    0.62    5.88   107.9    40.3    -1.6    -0.1     1.0     1.3     0.8 -999.000  177.6  222.3    2.545   72.8913065   53.5364457  979.0  100
 2009   12  120  895.29  -13.52  -13.92   74.5    1.17    8.15   118.0    50.0    -8.3    -0.9     0.0     0.4     0.0 -999.000  204.2  247.2    2.606   72.8912638   53.5369580  979.9  100
 2010    1  121  886.98  -18.59  -18.98   87.6    0.99    4.00   110.1    25.6     0.1    -0.3     0.2     0.3     0.1 -999.000  220.8  230.9    2.219 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  897.21  -14.86  -15.22   78.5    1.06    7.46   116.5    41.2    -8.5    10.2    11.3    10.5     9.3 -999.000  205.0  243.7    2.360 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  891.42  -16.53  -16.81   73.1    0.80    6.20   114.1    45.8    -6.3    78.0    79.9    66.2    65.4 -999.000  178.8  234.2    2.391 -999.0000000 -999.0000000 -999.0  100
 2010    4  124  897.00  -12.90  -13.00   73.4    1.08    5.98   109.9    28.7   -10.4   195.8   192.2   156.0   155.4    0.817  192.1  251.8    2.386   72.8910830   53.5390260  978.8  100
 2010    5  125  901.31   -3.09   -2.96   73.0    2.56    4.24   112.7    28.5   -16.1   299.6   295.9   219.4   218.1    0.751  241.8  293.9    2.462   72.8910365   53.5395454  978.7  100
 2010    6  126  897.95    1.85    1.93   79.5    3.84    3.89   113.8    23.9   -12.5   316.0   313.5   176.4   174.7    0.561  278.4  316.5    2.608   72.8909907   53.5400937  978.6  100
