 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    8  104  899.78    0.97   -0.72   79.9    3.65    4.61    34.9    24.9   -12.1   229.4   236.4    98.3    97.8    0.414  262.4  310.4    2.466   61.1788622   46.8162299  909.6  100
 2008    9  105  898.19   -2.46   -4.22   86.1    3.12    5.48    37.6    23.6    -8.7   126.7   130.6    75.8    75.1    0.576  265.1  297.4    2.417   61.1788248   46.8162659  907.5  100
 2008   10  106  895.67   -7.39   -9.25   82.4    2.17    6.93    47.2    38.7    -1.6    72.9    77.5    63.1    62.5 -999.000  235.8  276.1    2.162   61.1787909   46.8162756  906.4  100
 2008   11  107  900.07   -7.92   -9.79   91.0    2.27    5.85    57.6    26.4     3.8    20.7    23.5    20.7    19.1 -999.000  258.0  275.9    1.602   61.1787858   46.8162642  905.8  100
 2008   12  108  888.19  -14.75  -16.62   95.6    1.40    7.24    50.8    34.2     5.3     8.5     9.1    10.3     7.5 -999.000  222.0  248.3    0.627   61.1787858   46.8162642  905.8  100
 2009    1  109  881.41  -13.30  -15.14   91.0    1.51    6.83    60.1    47.5     2.2    16.7    19.3    17.2    15.9 -999.000  219.6  252.2    0.443   61.1787858   46.8162642  905.8  100
 2009    2  110  894.24  -11.96  -13.79   88.4    1.54    6.93    68.5    48.5     3.9    49.3    55.6    46.7    46.2 -999.000  217.1  257.0    0.402   61.1787858   46.8162642  905.8  100
 2009    3  111  896.14  -14.88  -16.60   91.4    1.15    5.51    48.2  -999.0  -999.0   136.8   143.4   122.9   120.7    0.843  195.4  244.1    0.463   61.1787858   46.8162642  905.8   70
 2009    4  112  895.66   -5.33   -7.03   95.8    2.80    3.87    68.2  -999.0  -999.0   161.7   164.8   130.2   128.8    0.665  257.0  284.1 -999.000   61.1787858   46.8162642  905.8  100
 2009    5  113  898.03   -1.40   -3.15   99.8 -999.00    0.36  -999.0  -999.0  -999.0    79.8    96.2    18.0    21.8    0.170  285.9 -999.0 -999.000   61.1787858   46.8162642  905.8  100
 2009    6  114  909.68    0.36   -0.77   87.1    3.74    3.08    75.3    19.3    -5.8   305.6   305.8   227.0   226.2    0.749  283.7  311.8    0.424   61.1787858   46.8162642  905.8  100
 2009    7  115  909.99    1.72    0.52   82.6    3.91    3.64    54.4    29.8    -3.2   323.5   324.6   218.6   216.7    0.669  267.3  314.1    1.118   61.1787858   46.8162642  905.8  100
 2009    8  116  903.75    1.20   -0.16   82.0    3.78    4.48    60.6    25.5    -7.9   220.4   223.9   149.0   148.5    0.674  274.1  312.1    2.299   61.1787858   46.8162642  905.8  100
 2009    9  117  896.94   -3.15   -4.55   87.2    3.02    4.75    59.7    15.4    -6.8   140.5   144.7   115.3   116.2    0.810  267.8  297.8    1.995 -999.0000000 -999.0000000 -999.0  100
 2009   10  118  900.30   -7.72   -9.32   77.9    1.90    6.69    56.0    39.4   -10.9    72.7    76.0    63.6    63.7 -999.000  229.5  272.8    1.893 -999.0000000 -999.0000000 -999.0  100
 2009   11  119  892.94  -12.40  -14.09   83.8    1.36    6.29    50.9    40.1    -0.4    23.3    27.4    24.6    24.5 -999.000  215.9  253.4    1.529 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  901.65   -9.70  -11.36   80.9    1.63    6.35    66.4    48.5    -4.0     8.4    11.0    10.1     9.7 -999.000  229.6  263.9    1.193 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  894.80   -8.02   -9.64   87.0    2.04    5.81    74.5    35.4    -3.2    13.2    15.3    13.7    13.5 -999.000  247.6  273.1    0.921 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  904.00   -8.84  -10.44   83.9    1.85    6.65    66.7    43.1    -4.8    51.9    54.1    48.6    47.4 -999.000  227.0  268.7    0.805 -999.0000000 -999.0000000 -999.0   85
 2010    3  123  900.37   -9.96  -11.41   86.4    1.78    4.90    64.1  -999.0  -999.0   118.4   122.4   105.3   104.7    0.862  235.5  266.8    0.547 -999.0000000 -999.0000000 -999.0  100
 2010    4  124  905.82   -5.36   -6.87   93.6    2.64    3.64    62.5  -999.0  -999.0   195.6   200.4   134.0   137.4    0.616  247.0  285.2 -999.000 -999.0000000 -999.0000000 -999.0   60
 2010    5  125  909.57    0.59   -0.49   80.9    3.54    5.24    82.8    40.2   -18.9   262.2   262.4   193.0   191.0    0.749  276.8  311.0    0.857 -999.0000000 -999.0000000 -999.0  100
 2010    6  126  906.15    1.20    0.26   84.6    3.87    3.61    69.4    19.3    -7.2   287.0   285.6   194.3   192.5    0.684  291.0  315.4    1.766 -999.0000000 -999.0000000 -999.0  100
 2010    7  127  904.68    1.79    1.20   83.7    4.02    3.81    61.5    22.2    -1.8   266.3   270.8   101.3   100.9    0.338  280.7  315.2    2.515 -999.0000000 -999.0000000 -999.0  100
