index,stid,Time,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
0,Roof_PROMICE,2022-08-11 15:00:00+00:00,1022.0,26.05,44.53,44.53,,1.196,126.5,557.705,,65.459,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11 15:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
1,Roof_PROMICE,2022-08-11 16:00:00+00:00,1021.0,25.68,44.18,44.18,8.984,1.314,130.0,408.005,408.005,48.949,48.949,0.12,368.412,494.896,0.0,0.0,0.0,0.0,2.649,,23.373,23.177,45.6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.689,-12.582,25.7,1500.11,,,1.02,,,11.78,,,56.62,,,28.66,,,-0.049,,,,16.419,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,16.419,-0.004,,2022-08-11 16:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
2,Roof_PROMICE,2022-08-11 17:00:00+00:00,1021.0,24.85,42.92,42.92,8.303,1.17,146.7,271.915,271.915,32.511,32.511,0.12,366.327,475.25,0.0,0.0,0.0,0.0,2.649,0.958,19.098,18.902,45.6,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.689,-12.582,24.2,1600.11,,,0.93,,,11.79,,,57.7,,,27.5,,,-0.049,0.042,,,12.144,-3.275,-2.275,-1.275,-0.275,0.725,1.725,2.725,5.725,,,,,,,,,,,,,,,,,,,,,,12.144,-0.003,0.001,2022-08-11 17:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
3,Roof_PROMICE,2022-08-11 18:00:00+00:00,1021.0,24.47,42.17,42.17,7.972,0.676,174.3,126.218,139.586,17.257,17.257,,360.427,454.962,0.0,0.0,0.0,0.0,2.646,0.959,15.068,14.872,45.6,0.0,,,,,,,,0.0,0.0,0.0,0.0,55.689,-12.582,28.0,1700.11,,,0.81,,,11.78,,,58.4,,,25.79,,,-0.046,0.041,,,8.114,-7.305,-6.305,-5.305,-4.305,-3.305,-2.305,-1.305,1.695,,,,,,,,,,,,,,,,,,,,,,8.114,-0.0,0.0,2022-08-11 18:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
4,Roof_PROMICE,2022-08-11 19:00:00+00:00,1021.0,22.78,44.8,44.8,7.641,0.7,148.5,19.8,43.317,5.532,5.532,,361.039,442.438,0.056,0.0,0.0,0.0,2.646,0.959,4.613,4.417,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,23.6,1800.11,,,0.84,,,11.79,,,56.73,,,24.55,,,-0.046,0.041,,,-2.341,-17.76,-16.76,-15.76,-14.76,-13.76,-12.76,-11.76,-8.76,,,,,,,,,,,,,,,,,,,,,,-2.341,-0.0,0.0,2022-08-11 19:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
5,Roof_PROMICE,2022-08-11 20:00:00+00:00,1021.0,21.85,49.7,49.7,8.006,0.267,204.1,-2.598,0.0,3.905,0.0,,357.046,429.598,0.089,0.0,0.0,0.0,2.64,0.96,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,24.0,1900.11,,,0.83,,,11.79,,,57.83,,,22.29,,,-0.04,0.04,,,-2.167,-17.586,-16.586,-15.586,-14.586,-13.586,-12.586,-11.586,-8.586,,,,,,,,,,,,,,,,,,,,,,-2.167,0.006,-0.001,2022-08-11 20:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
6,Roof_PROMICE,2022-08-11 21:00:00+00:00,1021.0,20.97,55.62,55.62,8.485,0.158,185.1,-2.562,0.0,3.782,0.0,,348.178,417.332,0.055,0.0,0.0,0.0,2.638,0.962,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,23.9,2000.11,,,1.33,,,11.79,,,56.66,,,20.23,,,-0.038,0.038,,,-1.992,-17.412,-16.412,-15.412,-14.412,-13.412,-12.412,-11.412,-8.412,,,,,,,,,,,,,,,,,,,,,,-1.992,0.008,-0.003,2022-08-11 21:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
7,Roof_PROMICE,2022-08-11 22:00:00+00:00,1021.0,20.3,59.92,59.92,8.768,0.074,153.7,-1.991,0.0,3.833,0.0,,346.615,412.183,0.093,0.0,0.0,0.0,2.64,0.964,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,27.8,2100.11,,,1.22,,,11.81,,,58.14,,,19.26,,,-0.04,0.036,,,-1.818,-17.237,-16.237,-15.237,-14.237,-13.237,-12.237,-11.237,-8.237,,,,,,,,,,,,,,,,,,,,,,-1.818,0.006,-0.005,2022-08-11 22:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
8,Roof_PROMICE,2022-08-11 23:00:00+00:00,1021.0,20.05,63.23,63.23,9.109,0.219,183.4,-1.336,0.0,4.214,0.0,,342.409,406.352,0.062,0.0,0.0,0.0,2.644,0.963,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,30.0,2200.11,,,1.13,,,11.82,,,57.38,,,18.38,,,-0.044,0.037,,,-1.818,-17.237,-16.237,-15.237,-14.237,-13.237,-12.237,-11.237,-8.237,,,,,,,,,,,,,,,,,,,,,,-1.644,0.002,-0.004,2022-08-11 23:00:00+00:00,2022,August,2022-08-11,223,737888,Summer,11,Aug
9,Roof_PROMICE,2022-08-12 00:00:00+00:00,1021.0,19.47,64.1,64.1,8.905,0.271,162.1,-1.627,0.0,3.459,0.0,,341.162,404.234,0.095,0.0,0.0,0.0,2.644,0.965,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,28.8,2300.11,,,0.73,,,11.82,,,56.9,,,18.08,,,-0.044,0.035,,,-1.817,-17.236,-16.236,-15.236,-14.236,-13.236,-12.236,-11.236,-8.236,,,,,,,,,,,,,,,,,,,,,,-1.47,0.001,-0.006,2022-08-12 00:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
10,Roof_PROMICE,2022-08-12 01:00:00+00:00,1021.0,19.4,66.3,66.3,9.171,0.283,150.0,-1.276,0.0,3.671,0.0,,340.385,402.628,0.091,0.0,0.0,0.0,2.642,0.965,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,25.3,0.11,,,1.01,,,11.79,,,57.74,,,17.81,,,-0.042,0.035,,,-1.816,-17.236,-16.236,-15.236,-14.236,-13.236,-12.236,-11.236,-8.236,,,,,,,,,,,,,,,,,,,,,,-1.295,0.004,-0.006,2022-08-12 01:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
11,Roof_PROMICE,2022-08-12 02:00:00+00:00,1021.0,18.92,78.07,78.07,10.477,0.356,137.1,-1.687,0.0,3.126,0.0,,339.074,401.804,0.114,0.0,0.0,0.0,2.644,0.966,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,27.3,100.11,,,0.93,,,11.79,,,57.77,,,17.54,,,-0.044,0.034,,,-1.816,-17.235,-16.235,-15.235,-14.235,-13.235,-12.235,-11.235,-8.235,,,,,,,,,,,,,,,,,,,,,,-1.121,0.002,-0.007,2022-08-12 02:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
12,Roof_PROMICE,2022-08-12 03:00:00+00:00,1021.0,18.63,80.9,80.9,10.661,0.167,201.7,-1.614,0.0,4.023,0.0,,340.617,400.137,0.155,0.0,0.0,0.0,2.644,0.966,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,23.7,200.11,,,0.99,,,11.8,,,56.34,,,17.31,,,-0.044,0.034,,,-1.815,-17.234,-16.234,-15.234,-14.234,-13.234,-12.234,-11.234,-8.234,,,,,,,,,,,,,,,,,,,,,,-0.947,0.002,-0.007,2022-08-12 03:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
13,Roof_PROMICE,2022-08-12 04:00:00+00:00,1021.0,18.28,82.8,82.8,10.672,0.177,132.6,6.097,0.0,4.736,0.0,,337.895,398.125,0.15,0.0,0.0,0.0,2.646,0.967,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,28.3,300.11,,,0.82,,,11.79,,,56.5,,,16.74,,,-0.046,0.033,,,-1.814,-17.234,-16.234,-15.234,-14.234,-13.234,-12.234,-11.234,-8.234,,,,,,,,,,,,,,,,,,,,,,-0.773,-0.001,-0.008,2022-08-12 04:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
14,Roof_PROMICE,2022-08-12 05:00:00+00:00,1021.0,18.93,76.3,76.3,10.246,0.138,216.5,56.304,120.614,12.876,22.315,,332.361,397.484,0.032,0.0,0.0,0.0,2.649,0.967,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,23.8,400.11,,,0.85,,,11.79,,,58.14,,,16.41,,,-0.049,0.033,,,-1.814,-17.233,-16.233,-15.233,-14.233,-13.233,-12.233,-11.233,-8.233,,,,,,,,,,,,,,,,,,,,,,-0.599,-0.004,-0.008,2022-08-12 05:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
15,Roof_PROMICE,2022-08-12 06:00:00+00:00,1021.0,20.38,70.7,70.7,10.397,0.325,231.4,205.203,241.227,38.513,44.63,,325.814,406.051,0.0,0.0,0.0,0.0,2.653,0.966,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,30.0,500.11,,,0.83,,,11.8,,,57.57,,,17.0,,,-0.053,0.034,,,-1.813,-17.232,-16.232,-15.232,-14.232,-13.232,-12.232,-11.232,-8.232,,,,,,,,,,,,,,,,,,,,,,-0.424,-0.007,-0.007,2022-08-12 06:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
16,Roof_PROMICE,2022-08-12 07:00:00+00:00,1021.0,21.7,68.78,68.78,10.978,0.712,34.7,343.362,361.841,65.111,66.946,,326.025,429.982,0.0,0.0,0.0,0.0,2.649,0.961,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,25.0,600.11,,,1.07,,,11.78,,,57.88,,,19.47,,,-0.049,0.039,,,-1.813,-17.232,-16.232,-15.232,-14.232,-13.232,-12.232,-11.232,-8.232,,,,,,,,,,,,,,,,,,,,,,-0.25,-0.004,-0.002,2022-08-12 07:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
17,Roof_PROMICE,2022-08-12 08:00:00+00:00,1021.0,22.18,67.28,67.28,11.061,0.958,28.61,481.254,482.455,86.91,89.261,0.181,335.954,461.588,0.0,0.0,0.0,0.0,2.647,0.961,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,24.4,700.11,,,0.89,,,11.78,,,56.77,,,22.81,,,-0.047,0.039,,,-1.812,-17.231,-16.231,-15.231,-14.231,-13.231,-12.231,-11.231,-8.231,,,,,,,,,,,,,,,,,,,,,,-0.076,-0.002,-0.002,2022-08-12 08:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
18,Roof_PROMICE,2022-08-12 09:00:00+00:00,1022.0,23.22,53.95,53.95,9.444,0.906,44.28,603.069,603.069,111.576,111.576,0.185,338.968,486.242,0.0,0.0,0.0,0.0,2.648,0.96,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,33.7,800.11,,,0.73,,,11.78,,,58.83,,,24.88,,,-0.048,0.04,,,-1.811,-17.231,-16.231,-15.231,-14.231,-13.231,-12.231,-11.231,-8.231,,,,,,,,,,,,,,,,,,,,,,0.098,-0.002,-0.001,2022-08-12 09:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
19,Roof_PROMICE,2022-08-12 10:00:00+00:00,1021.0,25.12,43.38,43.38,,0.811,48.45,697.798,697.798,134.461,134.461,0.193,340.113,,0.0,,,,2.657,0.961,7.227,7.031,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,33.5,900.11,,,0.8,,,11.76,,,57.21,,,26.83,,,-0.057,0.039,,,-1.811,-17.23,-16.23,-15.23,-14.23,-13.23,-12.23,-11.23,-8.23,,,,,,,,,,,,,,,,,,,,,,0.273,-0.012,-0.002,2022-08-12 10:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
20,Roof_PROMICE,2022-08-12 11:00:00+00:00,1021.0,26.18,42.67,42.67,,1.031,53.27,749.833,749.833,145.236,145.236,0.194,353.694,,0.0,,,,2.647,0.957,11.2,11.004,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,30.2,1000.11,,,1.14,,,11.78,,,58.34,,,29.66,,,-0.047,0.043,,,-1.81,-17.229,-16.229,-15.229,-14.229,-13.229,-12.229,-11.229,-8.229,,,,,,,,,,,,,,,,,,,,,,4.245,-0.002,0.002,2022-08-12 11:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
21,Roof_PROMICE,2022-08-12 12:00:00+00:00,1021.0,27.75,39.32,39.32,,0.929,69.76,760.507,760.507,137.756,137.756,0.181,359.735,,0.0,,,,2.654,0.955,13.933,13.737,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,24.7,1100.11,,,0.92,,,11.8,,,58.33,,,31.27,,,-0.054,0.045,,,-1.809,-17.229,-16.229,-15.229,-14.229,-13.229,-12.229,-11.229,-8.229,,,,,,,,,,,,,,,,,,,,,,6.979,-0.009,0.004,2022-08-12 12:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
22,Roof_PROMICE,2022-08-12 13:00:00+00:00,1020.0,27.92,40.0,40.0,,1.195,91.2,729.153,729.153,115.583,115.583,0.159,374.074,,0.0,,,,2.649,0.954,14.378,14.191,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,27.2,1200.11,,,1.33,,,11.78,,,56.6,,,32.86,,,-0.049,0.046,,,-1.809,-17.228,-16.228,-15.228,-14.228,-13.228,-12.228,-11.228,-8.228,,,,,,,,,,,,,,,,,,,,,,7.433,-0.003,0.005,2022-08-12 13:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
23,Roof_PROMICE,2022-08-12 14:00:00+00:00,1020.0,27.12,41.17,41.17,,1.227,126.3,663.776,663.776,87.088,87.088,0.131,380.391,,0.0,,,,2.65,0.955,13.479,13.293,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,29.0,1300.11,,,0.96,,,11.8,,,56.73,,,32.56,,,-0.05,0.045,,,-1.808,-17.227,-16.227,-15.227,-14.227,-13.227,-12.227,-11.227,-8.227,,,,,,,,,,,,,,,,,,,,,,6.534,-0.004,0.004,2022-08-12 14:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
24,Roof_PROMICE,2022-08-12 15:00:00+00:00,1020.0,27.07,41.92,41.92,,1.157,107.9,555.704,555.704,66.456,66.456,0.12,375.303,,0.0,,,,,0.956,13.621,13.434,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,24.6,1400.11,,,0.86,,,11.76,,,55.9,,,30.61,,,,0.044,,,-1.808,-17.227,-16.227,-15.227,-14.227,-13.227,-12.227,-11.227,-8.227,,,,,,,,,,,,,,,,,,,,,,6.676,-0.004,0.003,2022-08-12 15:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
25,Roof_PROMICE,2022-08-12 16:00:00+00:00,1020.0,26.4,38.98,38.98,8.284,1.698,126.8,399.6,399.6,48.121,48.121,0.12,373.135,498.166,0.0,0.0,0.859,1.77,2.649,0.956,12.335,12.148,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,34.1,1500.11,,,0.77,,,11.76,,,56.83,,,29.4,,,-0.049,0.044,,,-1.807,-17.226,-16.226,-15.226,-14.226,-13.226,-12.226,-11.226,-8.226,,,,,,,,,,,,,,,,,,,,,,5.39,-0.004,0.003,2022-08-12 16:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
26,Roof_PROMICE,2022-08-12 17:00:00+00:00,1019.0,26.18,33.8,33.8,7.097,1.116,147.3,266.711,266.711,31.986,31.986,0.12,365.734,477.734,0.0,0.0,0.0,0.0,2.648,0.956,15.749,15.572,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,23.0,1600.11,,,0.88,,,11.81,,,57.12,,,28.05,,,-0.048,0.044,,,-1.806,-17.226,-16.226,-15.226,-14.226,-13.226,-12.226,-11.226,-8.226,,,,,,,,,,,,,,,,,,,,,,8.814,-0.003,0.003,2022-08-12 17:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
27,Roof_PROMICE,2022-08-12 18:00:00+00:00,1019.0,24.88,34.08,34.08,6.618,1.31,124.0,124.016,132.845,16.5,16.5,,364.24,461.865,0.0,0.0,0.0,0.0,2.646,0.956,12.316,12.138,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,31.8,1700.11,,,0.84,,,11.81,,,56.85,,,27.07,,,-0.046,0.044,,,-1.806,-17.225,-16.225,-15.225,-14.225,-13.225,-12.225,-11.225,-8.225,,,,,,,,,,,,,,,,,,,,,,5.38,-0.0,0.003,2022-08-12 18:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
28,Roof_PROMICE,2022-08-12 19:00:00+00:00,1019.0,23.47,43.52,43.52,7.758,0.532,152.0,16.398,45.865,5.893,5.893,,360.572,446.693,0.0,0.0,0.0,0.0,2.648,0.96,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,19.2,1800.11,,,1.3,,,11.81,,,55.63,,,25.23,,,-0.048,0.04,,,-1.805,-17.224,-16.224,-15.224,-14.224,-13.224,-12.224,-11.224,-8.224,,,,,,,,,,,,,,,,,,,,,,5.215,-0.002,-0.001,2022-08-12 19:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
29,Roof_PROMICE,2022-08-12 20:00:00+00:00,1019.0,22.37,55.03,55.03,9.171,0.76,113.4,-3.099,0.0,4.06,0.0,,349.719,431.147,0.0,0.0,0.0,0.0,2.645,0.961,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,19.1,1900.11,,,0.83,,,11.79,,,57.23,,,22.64,,,-0.045,0.039,,,-1.805,-17.224,-16.224,-15.224,-14.224,-13.224,-12.224,-11.224,-8.224,,,,,,,,,,,,,,,,,,,,,,5.05,0.001,-0.002,2022-08-12 20:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
30,Roof_PROMICE,2022-08-12 21:00:00+00:00,1019.0,21.78,60.42,60.42,9.71,0.452,95.0,-2.751,0.0,4.398,0.0,,342.791,420.182,0.0,0.0,0.0,0.0,2.644,0.961,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,29.4,2000.11,,,1.28,,,11.79,,,57.51,,,20.81,,,-0.044,0.039,,,-1.804,-17.223,-16.223,-15.223,-14.223,-13.223,-12.223,-11.223,-8.223,,,,,,,,,,,,,,,,,,,,,,4.884,0.001,-0.002,2022-08-12 21:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
31,Roof_PROMICE,2022-08-12 22:00:00+00:00,1019.0,21.33,64.7,64.7,10.113,0.557,97.6,-3.276,0.0,3.904,0.0,,338.244,413.96,0.0,0.0,0.0,0.0,2.639,0.962,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,24.9,2100.11,,,1.74,,,11.82,,,56.15,,,19.92,,,-0.039,0.038,,,-1.803,-17.223,-16.223,-15.223,-14.223,-13.223,-12.223,-11.223,-8.223,,,,,,,,,,,,,,,,,,,,,,4.719,0.006,-0.003,2022-08-12 22:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
32,Roof_PROMICE,2022-08-12 23:00:00+00:00,1019.0,20.18,74.63,74.63,10.861,0.611,60.77,-3.066,0.0,3.831,0.0,,339.191,413.777,0.012,0.0,0.0,0.0,2.639,0.962,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,28.7,2200.11,,,0.92,,,11.82,,,57.77,,,19.63,,,-0.039,0.038,,,-1.803,-17.222,-16.222,-15.222,-14.222,-13.222,-12.222,-11.222,-8.222,,,,,,,,,,,,,,,,,,,,,,4.554,0.006,-0.003,2022-08-12 23:00:00+00:00,2022,August,2022-08-12,224,737889,Summer,12,Aug
33,Roof_PROMICE,2022-08-13 00:00:00+00:00,1020.0,19.38,80.8,80.8,11.173,0.736,61.99,-2.782,0.0,3.95,0.0,,334.639,408.859,0.023,0.0,0.0,0.0,2.645,0.965,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,22.1,2300.11,,,0.73,,,11.81,,,57.44,,,18.58,,,-0.045,0.035,,,-1.802,-17.221,-16.221,-15.221,-14.221,-13.221,-12.221,-11.221,-8.221,,,,,,,,,,,,,,,,,,,,,,4.389,0.001,-0.006,2022-08-13 00:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
34,Roof_PROMICE,2022-08-13 01:00:00+00:00,1019.0,19.18,78.9,78.9,10.785,0.745,79.9,-2.913,0.0,3.877,0.0,,330.099,403.627,0.0,0.0,0.0,0.0,2.644,0.965,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,30.8,0.11,,,0.82,,,11.81,,,55.91,,,17.87,,,-0.044,0.035,,,-1.801,-17.221,-16.221,-15.221,-14.221,-13.221,-12.221,-11.221,-8.221,,,,,,,,,,,,,,,,,,,,,,4.223,0.002,-0.006,2022-08-13 01:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
35,Roof_PROMICE,2022-08-13 02:00:00+00:00,1019.0,18.92,78.38,78.38,10.54,0.746,74.71,-2.768,0.0,3.767,0.0,,330.467,402.025,0.01,0.0,0.0,0.0,2.645,0.966,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,18.0,100.11,,,0.98,,,11.81,,,57.69,,,17.67,,,-0.045,0.034,,,-1.801,-17.22,-16.22,-15.22,-14.22,-13.22,-12.22,-11.22,-8.22,,,,,,,,,,,,,,,,,,,,,,4.058,0.001,-0.007,2022-08-13 02:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
36,Roof_PROMICE,2022-08-13 03:00:00+00:00,1019.0,18.5,81.5,81.5,10.673,0.592,55.83,-2.687,0.0,3.661,0.0,,331.48,400.724,0.056,0.0,0.0,0.0,2.644,0.966,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,26.5,200.11,,,0.99,,,11.79,,,58.04,,,17.38,,,-0.044,0.034,,,-1.8,-17.219,-16.219,-15.219,-14.219,-13.219,-12.219,-11.219,-8.219,,,,,,,,,,,,,,,,,,,,,,3.893,0.002,-0.007,2022-08-13 03:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
37,Roof_PROMICE,2022-08-13 04:00:00+00:00,1019.0,18.08,85.1,85.1,10.852,0.339,23.91,4.58,0.0,5.207,0.0,,332.186,399.613,0.098,0.0,0.0,0.0,2.644,0.967,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,20.0,300.11,,,0.82,,,11.82,,,57.57,,,16.94,,,-0.044,0.033,,,-1.8,-17.219,-16.219,-15.219,-14.219,-13.219,-12.219,-11.219,-8.219,,,,,,,,,,,,,,,,,,,,,,3.728,0.001,-0.008,2022-08-13 04:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
38,Roof_PROMICE,2022-08-13 05:00:00+00:00,1019.0,18.28,87.8,87.8,11.339,0.445,37.19,55.037,120.747,12.101,22.44,,325.871,397.579,0.007,0.0,0.0,0.0,2.649,0.967,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,25.8,400.11,,,0.83,,,11.82,,,57.72,,,16.27,,,-0.049,0.033,,,-1.799,-17.218,-16.218,-15.218,-14.218,-13.218,-12.218,-11.218,-8.218,,,,,,,,,,,,,,,,,,,,,,3.562,-0.004,-0.008,2022-08-13 05:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
39,Roof_PROMICE,2022-08-13 06:00:00+00:00,1018.0,19.5,82.9,82.9,11.573,0.746,66.41,199.867,241.494,37.898,44.88,,319.55,404.538,0.0,0.0,0.0,0.0,2.651,0.966,,,45.6,0.0,,,,,,,,,0.0,0.0,0.0,55.689,-12.582,25.8,500.11,,,0.75,,,11.81,,,58.08,,,16.69,,,-0.051,0.034,,,-1.798,-17.218,-16.218,-15.218,-14.218,-13.218,-12.218,-11.218,-8.218,,,,,,,,,,,,,,,,,,,,,,3.397,-0.005,-0.007,2022-08-13 06:00:00+00:00,2022,August,2022-08-13,225,737890,Summer,13,Aug
